Feature,Importance
Feature 5,0.6319170407841377
Feature 14,0.13805736861177237
Feature 18,0.05584100728333376
Feature 19,0.03484433513464388
Feature 16,0.03305561821704114
Feature 17,0.01939868508165139
Feature 7,0.01890950051070171
Feature 1,0.014838193037825619
Feature 10,0.010371975442397976
Feature 8,0.009868826671692846
Feature 0,0.00848148645418196
Feature 3,0.0074300877730149
Feature 9,0.004572361706470707
Feature 13,0.004329887979612413
Feature 6,0.0030165122336121646
Feature 4,0.0026460426542075834
Feature 12,0.0024210704237019117
Feature 11,0.0
Feature 15,0.0
Feature 2,0.0
