Feature,Importance
Feature 5,0.6975806294046426
Feature 14,0.1426239120611216
Feature 18,0.041298036924569174
Feature 11,0.019591144648785017
Feature 12,0.016499856309341875
Feature 8,0.012059549100790712
Feature 6,0.010450453865783856
Feature 16,0.010175588473290505
Feature 1,0.010012039666379263
Feature 15,0.009803742733606197
Feature 13,0.008255717606200447
Feature 19,0.0037813860842661985
Feature 9,0.003663791080867357
Feature 17,0.002396036594539853
Feature 10,0.0023493229004438636
Feature 7,0.0022771095117510277
Feature 2,0.0021182380243530436
Feature 3,0.0019014647295099803
Feature 0,0.0018273207774678717
Feature 4,0.0013346595022897905
