Feature,Coefficient
Feature 5,1.6754600919091398
Feature 11,0.4703259757964183
Feature 2,0.18057231679779948
Feature 13,0.1670992976376837
Feature 10,0.15800316668803335
Feature 16,0.10218214193764658
Feature 19,0.09928102177905342
Feature 15,0.06241181944992808
Feature 0,0.045350899099650475
Feature 9,0.04418295142266114
Feature 12,0.04289842073945092
Feature 3,0.03921292477367982
Feature 4,0.019176418533764915
Feature 8,0.009439541212224024
Feature 7,0.006840769286181835
Feature 6,-0.05785382465704579
Feature 17,-0.06656395418883793
Feature 1,-0.5137156991022637
Feature 14,-0.537641729547914
Feature 18,-0.7923200207562802
