Feature,Importance
Feature 5,0.2899392042597013
Feature 18,0.2712740063571378
Feature 1,0.09336229227964994
Feature 14,0.07540430113713893
Feature 11,0.023194506287531214
Feature 12,0.01865236607171314
Feature 6,0.018496652076312674
Feature 15,0.018010558016637025
Feature 16,0.017924499158979923
Feature 19,0.017070672030446817
Feature 2,0.016816479979244806
Feature 9,0.016804575977980143
Feature 8,0.016278563819940996
Feature 7,0.016178065752040807
Feature 13,0.01609464571090034
Feature 4,0.015817938775526917
Feature 3,0.015804987723688456
Feature 0,0.014683105546967154
Feature 10,0.014202025984115504
Feature 17,0.013990553054346294
