,Indicator,Index_p2,Value,Indicator.1,Index_p1,Value.1,continuous_wins_p1,continuous_wins_p2,p2_winning_streak_count,p1_Turning_point_count,p2_Turning_point_count,p1_winning_streak_count
0,y_value_p2,5.0,15.59085652,y_value_p1,15.0,13.42525744,0,0,0,,,0
1,y_value_p2,10.0,24.88224601,y_value_p1,25.0,8.006278041,0,1,0,,,0
2,y_value_p2,15.0,26.37031958,y_value_p1,30.0,30.13308468,1,0,0,,,0
3,y_value_p2,20.0,10.28875386,y_value_p1,35.0,12.20004249,0,1,0,,,0
4,y_value_p2,25.0,30.96065814,y_value_p1,40.0,19.03872117,1,0,0,,,0
5,y_value_p2,30.0,8.158369457,y_value_p1,45.0,16.37000535,1,0,0,,,0
6,y_value_p2,35.0,19.23096377,y_value_p1,50.0,18.46566068,0,1,0,,,0
7,y_value_p2,40.0,16.74422884,y_value_p1,55.0,20.94877721,1,0,0,,,0
8,y_value_p2,45.0,23.35583264,y_value_p1,70.0,18.2701588,0,0,0,,,0
9,y_value_p2,50.0,15.12014422,y_value_p1,75.0,11.44787637,1,0,0,,,0
10,y_value_p2,60.0,18.26879626,y_value_p1,80.0,15.33988214,0,0,0,,,0
11,y_value_p2,65.0,31.68556859,y_value_p1,100.0,15.30536125,0,1,0,,,0
12,y_value_p2,75.0,26.15737554,y_value_p1,105.0,20.28082286,1,0,0,,,0
13,y_value_p2,80.0,12.90950588,y_value_p1,115.0,20.61648365,1,0,0,,,0
14,y_value_p2,85.0,12.28097239,y_value_p1,120.0,14.98898022,0,1,0,,,0
15,y_value_p2,90.0,22.83908402,y_value_p1,125.0,19.71860483,0,1,0,,,0
16,y_value_p2,100.0,13.34252649,y_value_p1,130.0,20.37232461,1,0,0,,,0
17,y_value_p2,105.0,19.31032326,y_value_p1,135.0,6.408991397,0,1,0,,,0
18,y_value_p2,110.0,20.30031428,y_value_p1,140.0,17.63382953,0,0,0,,,0
19,y_value_p2,115.0,16.96728194,y_value_p1,165.0,21.26654665,1,0,0,,,0
20,y_value_p2,120.0,20.90459345,y_value_p1,170.0,24.37302813,1,0,0,,,0
21,y_value_p2,125.0,17.67470739,y_value_p1,185.0,12.30648655,0,1,0,,,0
22,y_value_p2,130.0,15.1462684,y_value_p1,190.0,13.70448081,1,0,0,,,0
23,y_value_p2,135.0,24.83926498,y_value_p1,195.0,15.38167451,0,0,0,,,0
24,y_value_p2,145.0,13.67993125,y_value_p1,200.0,19.15099421,0,1,0,,,0
25,y_value_p2,155.0,21.10862841,y_value_p1,205.0,12.53209189,0,1,0,,,0
26,y_value_p2,160.0,10.07466705,y_value_p1,210.0,15.35064789,0,1,0,,,0
27,y_value_p2,175.0,25.365475,y_value_p1,220.0,10.65603227,0,0,0,,,0
28,y_value_p2,180.0,5.675233195,y_value_p1,230.0,13.05534777,1,0,0,,,0
29,y_value_p2,185.0,25.77797761,y_value_p1,240.0,21.73623621,1,0,0,,,0
30,y_value_p2,190.0,15.81454307,y_value_p1,250.0,13.55912541,1,0,0,,,0
31,y_value_p2,195.0,17.51566809,y_value_p1,255.0,27.38558701,0,1,0,,,0
32,y_value_p2,200.0,16.64098457,y_value_p1,260.0,23.59888463,0,1,0,,,0
33,y_value_p2,205.0,25.81538414,y_value_p1,265.0,17.43192456,0,1,0,,,0
34,y_value_p2,215.0,18.34437363,y_value_p1,270.0,26.03283337,1,0,0,,,0
35,y_value_p2,225.0,16.27778168,y_value_p1,280.0,21.52905958,0,0,0,,,0
36,y_value_p2,230.0,16.8920919,y_value_p1,285.0,13.82653398,0,1,0,,,0
37,y_value_p2,235.0,23.91433279,y_value_p1,290.0,18.67598339,1,0,0,,,0
38,y_value_p2,245.0,9.521396414,y_value_p1,295.0,25.02754697,0,1,0,,,0
39,y_value_p2,250.0,17.973934,y_value_p1,300.0,19.49080325,0,1,0,,,0
40,y_value_p2,255.0,9.364900862,y_value_p1,305.0,24.64953532,0,0,0,,,0
41,y_value_p2,260.0,10.46190902,y_value_p1,310.0,16.28683589,1,0,0,,,0
42,y_value_p2,265.0,19.9594596,y_value_p1,315.0,20.08522623,1,0,0,,,0
43,y_value_p2,275.0,26.05081754,y_value_p1,325.0,21.91989155,1,0,0,,,0
44,y_value_p2,285.0,25.6126933,y_value_p1,330.0,13.02095243,0,1,0,,,0
45,y_value_p2,290.0,21.48931794,y_value_p1,340.0,4.580143356,0,0,0,,,0
46,y_value_p2,295.0,19.59077745,y_value_p1,345.0,13.71888569,0,0,0,,,0
47,y_value_p2,300.0,22.93609996,y_value_p1,350.0,21.78817232,0,1,0,,,0
48,y_value_p2,305.0,18.69964061,y_value_p1,355.0,13.45952817,1,0,0,,,0
49,y_value_p2,310.0,21.30103204,y_value_p1,360.0,20.44145462,1,0,0,,,0
50,y_value_p2,315.0,23.50453405,y_value_p1,365.0,12.7753028,0,0,0,,,0
51,y_value_p2,325.0,18.68247417,y_value_p1,370.0,18.44288649,1,0,0,,,0
52,y_value_p2,330.0,26.91023379,y_value_p1,375.0,12.94653988,0,1,0,,,0
53,y_value_p2,335.0,7.607637123,y_value_p1,380.0,11.29126219,1,0,0,,,0
54,y_value_p2,345.0,19.69055683,y_value_p1,385.0,20.83716056,0,1,0,,,0
55,y_value_p2,350.0,19.59882815,y_value_p1,400.0,28.23682009,1,0,0,,,0
56,y_value_p2,355.0,26.75986736,y_value_p1,405.0,12.23891163,0,1,0,,,0
57,y_value_p2,360.0,17.36134384,y_value_p1,410.0,16.10168586,1,0,0,,,0
58,y_value_p2,365.0,19.23901842,y_value_p1,425.0,13.0424803,0,0,0,,,0
59,y_value_p2,370.0,14.95530748,y_value_p1,430.0,15.06019922,0,1,0,,,0
60,y_value_p2,375.0,25.46236966,y_value_p1,435.0,8.948190816,0,0,0,,,0
61,y_value_p2,380.0,24.81918867,y_value_p1,440.0,17.78201312,1,0,0,,,0
62,y_value_p2,385.0,17.66942849,y_value_p1,445.0,21.94385189,0,0,0,,,0
63,y_value_p2,390.0,21.43942543,y_value_p1,450.0,15.33344254,0,1,0,,,0
64,y_value_p2,395.0,26.8892015,y_value_p1,455.0,14.74465043,0,1,0,,,0
65,y_value_p2,400.0,13.0594497,y_value_p1,460.0,18.7530687,0,1,0,,,0
66,y_value_p2,405.0,30.45992376,y_value_p1,465.0,10.27635581,0,0,0,,,0
67,y_value_p2,410.0,22.86777029,y_value_p1,470.0,21.50045051,1,0,0,,,0
68,y_value_p2,415.0,21.15567923,y_value_p1,475.0,18.47395484,1,0,0,,,0
69,y_value_p2,425.0,18.87970014,y_value_p1,485.0,8.075566119,0,1,0,,,0
70,y_value_p2,430.0,20.88257812,y_value_p1,495.0,10.64441522,0,1,0,,,0
71,y_value_p2,435.0,24.07383695,y_value_p1,500.0,4.800536935,1,0,0,,,0
72,y_value_p2,440.0,23.27495528,y_value_p1,505.0,20.292164,0,1,0,,,0
73,y_value_p2,445.0,18.43166646,y_value_p1,510.0,6.20632303,0,1,0,,,0
74,y_value_p2,450.0,21.12731232,y_value_p1,515.0,11.21438741,0,0,0,,,0
75,y_value_p2,455.0,31.32880275,y_value_p1,540.0,12.35415188,0,1,0,,,0
76,y_value_p2,460.0,23.76581532,y_value_p1,545.0,23.21180126,0,1,0,,,0
77,y_value_p2,465.0,25.66028878,y_value_p1,550.0,17.39400824,0,1,0,,,0
78,y_value_p2,470.0,12.32861832,y_value_p1,555.0,21.65803613,0,0,0,,,0
