,p1_Turning_point_count,p2_Turning_point_count,continuous_wins_p1,continuous_wins_p2
0,0,0,0,0
1,0,0,0,1
2,0,0,1,0
3,0,0,0,1
4,0,0,1,0
5,0,1,1,0
6,0,0,0,1
7,0,0,1,0
8,0,0,0,0
9,0,0,1,0
10,0,1,0,0
11,0,0,0,1
12,0,0,1,0
13,0,0,1,0
14,0,0,0,1
15,1,1,0,1
16,0,0,1,0
17,0,0,0,1
18,0,0,0,0
19,0,0,1,0
20,0,1,1,0
21,0,0,0,1
22,0,0,1,0
23,0,0,0,0
24,0,0,0,1
25,1,1,0,1
26,0,0,0,1
27,0,0,0,0
28,0,0,1,0
29,0,0,1,0
30,1,1,1,0
31,0,0,0,1
32,0,0,0,1
33,0,0,0,1
34,0,0,1,0
35,1,1,0,0
36,0,0,0,1
37,0,0,1,0
38,0,0,0,1
39,0,0,0,1
40,1,1,0,0
41,0,0,1,0
42,0,0,1,0
43,0,0,1,0
44,0,0,0,1
45,1,1,0,0
46,0,0,0,0
47,0,0,0,1
48,0,0,1,0
49,0,0,1,0
50,1,1,0,0
51,0,0,1,0
52,0,0,0,1
53,0,0,1,0
54,0,0,0,1
55,1,0,1,0
56,0,0,0,1
57,0,0,1,0
58,0,0,0,0
59,0,0,0,1
60,0,1,0,0
61,0,0,1,0
62,0,0,0,0
63,0,0,0,1
64,0,0,0,1
65,0,1,0,1
66,0,0,0,0
67,0,0,1,0
68,0,0,1,0
69,0,0,0,1
70,1,0,0,1
71,0,0,1,0
72,0,0,0,1
73,0,0,0,1
74,0,0,0,0
75,1,1,0,1
76,0,0,0,1
77,0,0,0,1
78,0,0,0,0
79,0,0,0,1
80,1,1,1,0
81,0,0,1,0
82,0,0,0,1
83,0,0,0,1
84,0,0,1,0
85,0,1,1,0
86,0,0,0,0
87,0,0,0,1
88,0,0,0,1
89,0,0,1,0
90,0,1,1,0
91,0,0,1,0
92,0,0,0,1
93,0,0,1,0
94,0,0,0,0
95,0,0,0,1
96,0,0,0,0
97,0,0,0,1
98,0,0,1,0
99,0,0,0,1
100,1,1,1,0
101,0,0,1,0
102,0,0,0,1
103,0,0,1,0
104,0,0,0,0
105,1,1,1,0
106,0,0,0,1
107,0,0,0,1
108,0,0,0,1
109,0,0,1,0
110,0,1,1,0
111,0,0,1,0
112,0,0,0,0
113,0,0,0,1
114,0,0,0,0
115,1,1,1,0
116,0,0,0,0
117,0,0,1,0
118,0,0,1,0
119,0,0,1,0
120,1,1,0,0
121,0,0,1,0
122,0,0,0,1
123,0,0,0,1
124,0,0,0,1
125,1,1,0,0
126,0,0,1,0
127,0,0,0,1
128,0,0,1,0
129,0,0,1,0
130,1,1,0,1
131,0,0,0,0
132,0,0,0,1
133,0,0,0,1
134,0,0,1,0
135,1,1,0,1
136,0,0,0,0
137,0,0,1,0
138,0,0,1,0
139,0,0,1,0
140,1,0,0,0
141,0,0,0,0
142,0,0,1,0
143,0,0,0,1
144,0,0,0,0
145,0,1,1,0
146,0,0,0,0
147,0,0,1,0
148,0,0,0,1
149,0,0,0,1
150,0,0,1,0
151,0,0,1,0
152,0,0,0,1
153,0,0,1,0
154,0,0,0,0
155,0,1,0,0
156,0,0,0,1
157,0,0,0,0
158,0,0,1,0
159,0,0,1,0
160,0,1,0,1
161,0,0,0,1
162,0,0,1,0
163,0,0,0,0
164,0,0,1,0
165,1,0,1,0
166,0,0,0,1
167,0,0,1,0
168,0,0,0,0
169,0,0,1,0
170,1,0,1,0
171,0,0,0,0
172,0,0,0,0
173,0,0,1,0
174,0,0,0,1
