elapsed_time_seconds,p1_1st_serve_success_ratio,p1_1st_serve_win_ratio,p1_2nd_serve_win_ratio,y_value_p1_normalized_0_5
0,-4.803374034,-3.94493188,-2.859715628,12.50831616
38,-4.803374034,-3.94493188,-2.859715628,15.32687272
61,-4.803374034,-3.94493188,-2.859715628,13.82264329
91,-4.803374034,-3.94493188,-2.859715628,18.75728424
141,-4.803374034,-3.94493188,-2.859715628,12.07249139
170,-4.803374034,-3.94493188,-2.859715628,9.701158751
213,-4.803374034,-3.94493188,-2.859715628,11.68060382
241,-4.803374034,-3.94493188,-2.859715628,8.864005116
288,-4.803374034,-3.94493188,-2.859715628,11.84835582
332,-4.803374034,-3.94493188,-2.859715628,9.46365184
425,1.416994155,3.168118217,-2.859715628,15.52918411
448,1.416994155,-0.388406832,-2.859715628,19.0372192
486,1.416994155,-1.573915181,-2.859715628,13.90462242
521,1.416994155,-0.388406832,-2.859715628,13.97034919
551,1.416994155,0.322898178,-2.859715628,17.0662623
577,1.416994155,0.322898178,-2.859715628,16.46257847
620,0.380266123,-0.388406832,-2.859715628,14.77396179
645,0.528370128,0.119668175,-2.859715628,18.25165064
684,0.528370128,0.119668175,-2.859715628,11.01149342
707,0.528370128,0.119668175,-2.859715628,10.56589006
737,0.528370128,0.119668175,-2.859715628,6.37541412
764,0.528370128,0.119668175,-2.859715628,10.00529694
806,0.528370128,0.119668175,-2.859715628,7.666635404
931,0.528370128,0.119668175,-0.126797673,12.80224519
975,0.639448131,0.50072443,-0.126797673,14.93578092
1007,0.034690113,0.006762618,-0.126797673,19.34186897
1028,-0.449116302,-0.388406832,-0.126797673,20.80170614
1069,-0.449116302,-0.388406832,-0.126797673,10.3760502
1105,-0.449116302,-0.388406832,-0.126797673,9.596203574
1130,-0.449116302,-0.388406832,-0.126797673,4.592394348
1160,-0.449116302,-0.388406832,-0.126797673,5.039130205
1203,-0.449116302,-0.388406832,-0.126797673,6.896050426
1255,-0.449116302,-0.388406832,-0.126797673,7.854568913
1287,-0.449116302,-0.388406832,-0.126797673,10.23706805
1339,-0.449116302,-0.388406832,-0.126797673,7.271643044
1462,-0.279469897,-0.065086373,-0.126797673,11.98441653
1493,-0.279469897,-0.065086373,-1.037770325,13.4547707
1565,-0.138097893,0.204347343,-1.037770325,13.62641692
