elapsed_time_seconds,p1_1st_serve_success_ratio,p1_1st_serve_win_ratio,p1_2nd_serve_win_ratio,point_victor
0,-4.765781896,-3.639530008,-2.877460983,0
38,1.332380269,2.761894105,-2.877460983,1
61,1.332380269,-0.438817951,-2.877460983,0
91,1.332380269,0.628086067,-2.877460983,1
141,-0.192160272,-0.438817951,-2.877460983,1
170,-0.192160272,-0.438817951,-2.877460983,0
213,0.112747836,0.20132446,-2.877460983,1
241,0.112747836,0.20132446,-2.877460983,0
288,0.316019908,0.628086067,-2.877460983,1
332,0.461214246,0.932915787,-2.877460983,1
425,0.461214246,0.932915787,-2.877460983,0
448,0.461214246,0.932915787,-2.877460983,1
486,0.461214246,0.932915787,-2.877460983,1
521,0.461214246,0.932915787,-2.877460983,0
551,0.461214246,0.932915787,-2.877460983,0
577,0.461214246,0.932915787,-2.877460983,1
620,0.461214246,0.932915787,-2.877460983,0
645,0.461214246,0.932915787,-2.877460983,0
684,-0.192160272,0.361360063,-2.877460983,1
707,-0.022766879,0.628086067,-2.877460983,1
737,0.112747836,0.20132446,-2.877460983,0
764,0.223623512,0.434103519,-2.877460983,1
806,0.223623512,0.434103519,-1.510835678,1
931,0.223623512,0.434103519,-1.510835678,0
975,0.223623512,0.434103519,-1.510835678,0
1007,0.223623512,0.434103519,-1.510835678,0
1028,0.223623512,0.434103519,-1.510835678,0
1069,0.316019908,0.628086067,-1.510835678,1
1105,0.394201475,0.792225147,-1.510835678,1
1130,0.461214246,0.932915787,-1.510835678,1
1160,0.461214246,0.932915787,-1.784160739,0
1203,0.461214246,0.932915787,-1.966377446,0
1255,0.51929198,0.628086067,-1.966377446,0
1287,0.51929198,0.628086067,-1.315603491,1
1339,0.570109999,0.76144907,-1.315603491,1
1462,0.570109999,0.76144907,-1.315603491,0
1493,0.570109999,0.76144907,-1.315603491,1
1565,0.570109999,0.76144907,-1.315603491,0
1590,0.570109999,0.76144907,-1.315603491,0
1616,0.570109999,0.76144907,-1.315603491,0
1662,0.570109999,0.76144907,-0.827523025,1
1717,0.614949426,0.879122307,-0.827523025,1
1746,0.654806695,0.98372074,-0.827523025,1
1772,0.654806695,0.98372074,-1.055293909,0
1817,0.654806695,0.98372074,-0.690860495,1
1954,0.654806695,0.98372074,-0.690860495,0
2013,0.654806695,0.98372074,-0.690860495,0
2038,0.654806695,0.98372074,-0.690860495,1
2086,0.654806695,0.98372074,-0.690860495,1
2162,0.654806695,0.98372074,-0.690860495,1
2238,0.690468462,1.077308812,-0.690860495,1
2264,0.690468462,1.077308812,-0.889642357,0
2306,0.722564053,1.161538077,-0.889642357,1
2334,0.75160292,0.932915787,-0.889642357,0
2369,0.778001891,1.016051165,-0.889642357,1
2401,0.536967813,0.813634592,-0.889642357,0
2433,0.570109999,0.894812072,-0.889642357,1
2483,0.570109999,0.894812072,-1.055293909,0
2551,0.600600809,0.713438389,-1.055293909,0
2598,0.628746173,0.792225147,-1.055293909,1
2639,0.654806695,0.865175849,-1.055293909,1
2669,0.679005752,0.932915787,-1.055293909,1
2824,0.679005752,0.932915787,-1.055293909,0
2847,0.679005752,0.932915787,-1.055293909,0
2872,0.679005752,0.932915787,-1.055293909,0
2897,0.679005752,0.932915787,-1.055293909,0
2957,0.491254453,0.775245242,-1.055293909,1
2978,0.491254453,0.775245242,-0.774960513,1
3014,0.491254453,0.775245242,-0.925139118,0
3070,0.51929198,0.628086067,-0.925139118,0
3114,0.348805726,0.490421033,-0.925139118,1
3141,0.348805726,0.490421033,-1.055293909,0
3186,0.348805726,0.490421033,-1.169179352,0
3251,0.379542431,0.361360063,-1.169179352,0
3296,0.379542431,0.361360063,-1.169179352,0
3320,0.379542431,0.361360063,-1.169179352,0
3350,0.379542431,0.361360063,-1.169179352,0
3428,0.379542431,0.361360063,-1.169179352,0
3562,0.379542431,0.361360063,-1.269666506,0
3617,0.408416305,0.434103519,-1.269666506,1
3641,0.256234005,0.314290768,-1.269666506,1
3681,0.286981041,0.20132446,-1.269666506,0
3725,0.286981041,0.20132446,-1.358988422,0
3774,0.286981041,0.20132446,-1.15119744,1
3830,0.316019908,0.272451394,-1.15119744,1
3861,0.316019908,0.272451394,-0.964185556,1
3938,0.316019908,0.272451394,-0.964185556,0
3976,0.316019908,0.272451394,-0.964185556,0
4006,0.316019908,0.272451394,-0.964185556,1
4062,0.316019908,0.272451394,-0.964185556,1
4106,0.316019908,0.272451394,-0.964185556,1
4159,0.316019908,0.272451394,-0.964185556,0
4224,0.316019908,0.272451394,-0.964185556,1
4290,0.316019908,0.272451394,-0.964185556,0
4328,0.316019908,0.272451394,-0.964185556,0
4357,0.316019908,0.272451394,-0.964185556,0
4488,0.316019908,0.272451394,-1.055293909,0
4527,0.343489107,0.33973363,-1.055293909,1
4555,0.343489107,0.33973363,-1.138119686,0
4613,0.369512559,0.403474695,-1.138119686,1
4642,0.394201475,0.463946988,-1.138119686,1
4668,0.417655944,0.361360063,-1.138119686,0
4710,0.291230631,0.263777378,-1.138119686,1
4741,0.291230631,0.263777378,-1.21374322,1
4797,0.291230631,0.263777378,-1.21374322,1
4831,0.291230631,0.263777378,-1.21374322,0
4866,0.291230631,0.263777378,-1.21374322,0
4901,0.291230631,0.263777378,-1.21374322,0
4935,0.291230631,0.263777378,-1.21374322,1
4966,0.291230631,0.263777378,-1.21374322,1
5038,0.291230631,0.263777378,-1.21374322,1
5101,0.291230631,0.263777378,-1.21374322,0
5132,0.291230631,0.263777378,-1.21374322,0
5177,0.291230631,0.263777378,-1.21374322,1
5219,0.291230631,0.263777378,-1.21374322,1
5308,0.291230631,0.263777378,-1.21374322,1
5429,0.316019908,0.323256348,-1.21374322,1
5448,0.316019908,0.323256348,-1.055293909,1
5481,0.316019908,0.323256348,-0.909520544,1
5519,0.339656196,0.379968854,-0.909520544,1
5565,0.339656196,0.379968854,-0.909520544,1
5591,0.339656196,0.379968854,-0.909520544,0
5617,0.339656196,0.379968854,-0.909520544,0
5656,0.339656196,0.379968854,-0.909520544,0
5682,0.339656196,0.379968854,-0.909520544,0
5788,0.362218107,0.434103519,-0.909520544,1
5817,0.362218107,0.434103519,-0.98521056,0
5881,0.362218107,0.434103519,-0.852830901,1
5923,0.383777266,0.485832198,-0.852830901,1
5963,0.271830327,0.396150411,-0.852830901,0
5996,0.29439522,0.446485383,-0.852830901,1
6044,0.29439522,0.446485383,-0.852830901,0
6070,0.29439522,0.446485383,-0.852830901,0
6099,0.29439522,0.446485383,-0.852830901,1
6142,0.29439522,0.446485383,-0.852830901,0
6195,0.29439522,0.446485383,-0.852830901,0
6324,0.316019908,0.494723065,-0.852830901,1
6359,0.316019908,0.494723065,-0.729906932,1
6398,0.316019908,0.494723065,-0.615460478,1
6437,0.336761956,0.540991862,-0.615460478,1
6492,0.336761956,0.540991862,-0.615460478,0
7445,0.336761956,0.540991862,-0.508643787,1
7490,0.336761956,0.540991862,-0.585057245,0
7538,0.336761956,0.540991862,-0.485866699,1
7622,0.356674323,0.585409907,-0.485866699,1
7647,0.375805812,0.628086067,-0.485866699,1
7721,0.375805812,0.628086067,-0.485866699,1
7768,0.375805812,0.628086067,-0.485866699,0
7800,0.375805812,0.628086067,-0.485866699,0
7855,0.375805812,0.628086067,-0.485866699,1
7895,0.375805812,0.628086067,-0.485866699,1
7935,0.375805812,0.628086067,-0.485866699,0
7973,0.375805812,0.628086067,-0.485866699,1
8018,0.375805812,0.628086067,-0.485866699,0
8048,0.375805812,0.628086067,-0.485866699,0
8148,0.375805812,0.628086067,-0.485866699,0
8175,0.375805812,0.628086067,-0.485866699,0
8218,0.375805812,0.628086067,-0.392687701,1
8266,0.394201475,0.669120837,-0.392687701,1
8296,0.411902961,0.587825538,-0.392687701,0
8333,0.411902961,0.587825538,-0.465769268,0
8379,0.411902961,0.587825538,-0.378488996,1
8427,0.428948837,0.628086067,-0.378488996,1
8566,0.428948837,0.628086067,-0.378488996,1
8616,0.428948837,0.628086067,-0.378488996,1
8661,0.428948837,0.628086067,-0.378488996,0
8730,0.428948837,0.628086067,-0.378488996,1
8759,0.428948837,0.628086067,-0.378488996,1
8805,0.334499188,0.550493048,-0.378488996,1
8829,0.352318493,0.589982352,-0.378488996,1
8855,0.352318493,0.589982352,-0.296057629,1
8939,0.262527258,0.515780381,-0.296057629,1
9063,0.262527258,0.515780381,-0.296057629,1
9121,0.262527258,0.515780381,-0.296057629,0
9144,0.262527258,0.515780381,-0.296057629,0
9181,0.262527258,0.515780381,-0.296057629,1
9244,0.262527258,0.515780381,-0.296057629,0
9286,0.262527258,0.515780381,-0.296057629,0
