elapsed_time_seconds,p1_1st_serve_success_ratio,p1_1st_serve_win_ratio,p1_2nd_serve_win_ratio,value_1
0,-4.765781896,-3.639530008,-2.877460983,15.1525559
38,1.332380269,2.761894105,-2.877460983,13.18486485
61,1.332380269,-0.438817951,-2.877460983,14.59544491
91,1.332380269,0.628086067,-2.877460983,12.46152404
141,-0.192160272,-0.438817951,-2.877460983,13.45130891
170,-0.192160272,-0.438817951,-2.877460983,14.60127111
213,0.112747836,0.20132446,-2.877460983,10.53259453
241,0.112747836,0.20132446,-2.877460983,16.06853594
288,0.316019908,0.628086067,-2.877460983,14.51583672
332,0.461214246,0.932915787,-2.877460983,16.57651037
425,0.461214246,0.932915787,-2.877460983,11.44261665
448,0.461214246,0.932915787,-2.877460983,12.20150439
486,0.461214246,0.932915787,-2.877460983,13.82173328
521,0.461214246,0.932915787,-2.877460983,17.60908016
551,0.461214246,0.932915787,-2.877460983,13.93288493
577,0.461214246,0.932915787,-2.877460983,9.794572078
620,0.461214246,0.932915787,-2.877460983,13.09453706
645,0.461214246,0.932915787,-2.877460983,9.33448998
684,-0.192160272,0.361360063,-2.877460983,13.86081122
707,-0.022766879,0.628086067,-2.877460983,16.28710692
737,0.112747836,0.20132446,-2.877460983,18.21254788
764,0.223623512,0.434103519,-2.877460983,17.73878122
806,0.223623512,0.434103519,-1.510835678,15.83991828
931,0.223623512,0.434103519,-1.510835678,9.082754232
975,0.223623512,0.434103519,-1.510835678,6.463597314
1007,0.223623512,0.434103519,-1.510835678,6.26767532
1028,0.223623512,0.434103519,-1.510835678,6.156992143
1069,0.316019908,0.628086067,-1.510835678,11.37424381
1105,0.394201475,0.792225147,-1.510835678,16.81528257
1130,0.461214246,0.932915787,-1.510835678,17.01000497
1160,0.461214246,0.932915787,-1.784160739,20.66871967
1203,0.461214246,0.932915787,-1.966377446,15.27730356
1255,0.51929198,0.628086067,-1.966377446,11.39472172
1287,0.51929198,0.628086067,-1.315603491,11.74866933
1339,0.570109999,0.76144907,-1.315603491,16.04729134
1462,0.570109999,0.76144907,-1.315603491,8.997151324
1493,0.570109999,0.76144907,-1.315603491,5.916539492
1565,0.570109999,0.76144907,-1.315603491,11.76562386
1590,0.570109999,0.76144907,-1.315603491,8.09403749
1616,0.570109999,0.76144907,-1.315603491,7.014597672
1662,0.570109999,0.76144907,-0.827523025,13.44804732
1717,0.614949426,0.879122307,-0.827523025,16.00331826
1746,0.654806695,0.98372074,-0.827523025,18.17901402
1772,0.654806695,0.98372074,-1.055293909,20.58328154
1817,0.654806695,0.98372074,-0.690860495,16.13745512
1954,0.654806695,0.98372074,-0.690860495,11.71113627
2013,0.654806695,0.98372074,-0.690860495,11.44950648
2038,0.654806695,0.98372074,-0.690860495,7.735590971
2086,0.654806695,0.98372074,-0.690860495,10.89105089
2162,0.654806695,0.98372074,-0.690860495,13.14591255
2238,0.690468462,1.077308812,-0.690860495,13.07507576
2264,0.690468462,1.077308812,-0.889642357,15.39527356
2306,0.722564053,1.161538077,-0.889642357,13.46672478
2334,0.75160292,0.932915787,-0.889642357,16.09650518
2369,0.778001891,1.016051165,-0.889642357,15.03183127
2401,0.536967813,0.813634592,-0.889642357,14.69119108
2433,0.570109999,0.894812072,-0.889642357,12.85539122
2483,0.570109999,0.894812072,-1.055293909,14.45332354
2551,0.600600809,0.713438389,-1.055293909,13.15462086
2598,0.628746173,0.792225147,-1.055293909,9.666944237
2639,0.654806695,0.865175849,-1.055293909,14.82966591
2669,0.679005752,0.932915787,-1.055293909,18.09694909
2824,0.679005752,0.932915787,-1.055293909,11.14933667
2847,0.679005752,0.932915787,-1.055293909,8.300014462
2872,0.679005752,0.932915787,-1.055293909,5.830788633
2897,0.679005752,0.932915787,-1.055293909,4.832468102
2957,0.491254453,0.775245242,-1.055293909,13.29922796
2978,0.491254453,0.775245242,-0.774960513,14.3682528
3014,0.491254453,0.775245242,-0.925139118,18.11448735
3070,0.51929198,0.628086067,-0.925139118,14.4431973
3114,0.348805726,0.490421033,-0.925139118,12.94783502
3141,0.348805726,0.490421033,-1.055293909,12.59371805
3186,0.348805726,0.490421033,-1.169179352,11.07394304
3251,0.379542431,0.361360063,-1.169179352,10.22538899
3296,0.379542431,0.361360063,-1.169179352,10.15827323
3320,0.379542431,0.361360063,-1.169179352,8.507610391
3350,0.379542431,0.361360063,-1.169179352,4.559860206
3428,0.379542431,0.361360063,-1.169179352,3.270089209
3562,0.379542431,0.361360063,-1.269666506,12.6159306
3617,0.408416305,0.434103519,-1.269666506,9.835654026
3641,0.256234005,0.314290768,-1.269666506,11.04068932
3681,0.286981041,0.20132446,-1.269666506,15.5447677
3725,0.286981041,0.20132446,-1.358988422,10.22636929
3774,0.286981041,0.20132446,-1.15119744,8.953878777
3830,0.316019908,0.272451394,-1.15119744,10.34062153
3861,0.316019908,0.272451394,-0.964185556,18.22923463
3938,0.316019908,0.272451394,-0.964185556,10.00820135
3976,0.316019908,0.272451394,-0.964185556,9.591702838
4006,0.316019908,0.272451394,-0.964185556,6.785549273
4062,0.316019908,0.272451394,-0.964185556,10.24857555
4106,0.316019908,0.272451394,-0.964185556,13.56256649
4159,0.316019908,0.272451394,-0.964185556,13.19658878
4224,0.316019908,0.272451394,-0.964185556,10.20011376
4290,0.316019908,0.272451394,-0.964185556,13.9280318
4328,0.316019908,0.272451394,-0.964185556,11.54577781
