,p1_1st_serve_success_ratio,p1_1st_serve_win_ratio,p1_2nd_serve_win_ratio,p2_1st_serve_success_ratio,p2_1st_serve_win_ratio,p2_2nd_serve_win_ratio,p1_ace_count2r,p2_ace_count2r,p1_unf_err_count2r,p2_unf_err_count2r,speed_mph,serve_width,serve_depth,continuous_wins_p1,continuous_wins_p2,server,serve_no,elapsed_time,p1_Players_run_distance_difference,p2_Players_run_distance_difference,p1_server,p2_server,p1_score,p2_score,point_no,p1_Player_socre_margin,p2_Player_socre_margin,Players_run_distance_difference,y_value_p1,y_value_p2,y_value_p1_normalized_0_5,y_value_p2_normalized_0_5
0,1,1,1,1,1,1,0,0,0,0,-0.393939394,0.25,1,0,0,1,1,0 days 00:00:00,-0.164508192,0.164508192,0.25,0,0,0,1,0,0,-0.393939394,21.6576515,20.06619615,15.1525559,12.50831616
1,1,1,1,1,1,1,0,0,0,0,0.303030303,0,0,0,0.25,1,0,0 days 00:00:38,-0.164521711,0.164521711,0.25,0,0,15,2,-0.375,0.375,0.303030303,18.63434858,24.55970899,13.18486485,15.32687272
2,1,0.5,1,1,1,1,0,0,0,0,0.363636364,0,1,0.25,0,1,0,0 days 00:01:01,-0.220853837,0.220853837,0.25,0,15,15,3,0,0,0.363636364,20.80166586,22.16157573,14.59544491,13.82264329
3,1,0.666666667,1,1,1,1,0,0,0,0,0.666666667,0.5,0,0,0.25,1,0,0 days 00:01:31,-0.471151246,0.471151246,0.25,0,15,30,4,-0.375,0.375,0.666666667,17.52295541,30.02867792,12.46152404,18.75728424
4,0.75,0.5,1,0.75,1,1,0.333333333,0.333333333,-0.333333333,-0.333333333,0.121212121,1,1,0.25,0,1,0,0 days 00:02:21,-0.141850971,0.141850971,0.25,0,30,30,5,0,0,0.121212121,19.04373251,19.37137802,13.45130891,12.07249139
5,0.75,0.5,1,0.75,1,1,0.333333333,0.333333333,-0.333333333,-0.333333333,-0.333333333,0.5,1,0.5,0,1,1,0 days 00:02:50,-0.125547504,0.125547504,0.25,0,40,30,6,0.25,-0.25,-0.333333333,20.81061765,15.59085652,14.60127111,9.701158751
6,0.8,0.6,1,0.8,1,1,0.666666667,0.666666667,-0.666666667,-0.666666667,0.03030303,1,0,0,0.25,1,0,0 days 00:03:33,-0.288392905,0.288392905,0.25,0,40,40,7,0,0,0.03030303,14.55920854,18.74660722,10.53259453,11.68060382
7,0.8,0.6,1,0.8,1,1,0.333333333,0.333333333,-0.333333333,-0.333333333,-0.090909091,0,1,0.25,0,1,1,0 days 00:04:01,-0.147258422,0.147258422,0.25,0,60,40,8,0.5,-0.5,-0.090909091,23.06502952,14.25621571,16.06853594,8.864005116
8,0.833333333,0.666666667,1,0.833333333,1,1,0.333333333,0.333333333,-0.333333333,-0.333333333,0.606060606,0.25,0,0,0,1,0,0 days 00:04:48,-0.005867085,0.005867085,0.25,0,40,40,9,0,0,0.606060606,20.67935008,19.01404757,14.51583672,11.84835582
9,0.857142857,0.714285714,1,0.857142857,1,1,0,0,0,0,0.060606061,0,1,0.25,0,1,0,0 days 00:05:32,-0.223341264,0.223341264,0.25,0,60,40,10,0.5,-0.5,0.060606061,23.84551819,15.21220868,16.57651037,9.46365184
