,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,continuous_wins_p1,continuous_wins_p2,Player_socre_margin,Players_run_distance_difference,p1_first_serve_success_count,p1_first_serve_total_count,p1_first_serve_win_count,p1_second_serve_win_count,p1_second_serve_total_count,p2_first_serve_success_count,p2_first_serve_total_count,p2_first_serve_win_count,p2_second_serve_win_count,p2_second_serve_total_count,p1_1st_serve_success_ratio,p1_1st_serve_win_ratio,p1_2nd_serve_win_ratio,p2_1st_serve_success_ratio,p2_1st_serve_win_ratio,p2_2nd_serve_win_ratio,p1_ace_count2r,p2_ace_count2r,p1_double_fault_count2r,p2_double_fault_count2r,p1_unf_err_count2r,p2_unf_err_count2r,s_change
0,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:00,1,1,1,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,7.84,2,95.0,2.0,2.0,2.0,0,0,-1,-1.8399999999999999,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
1,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:38,1,1,2,0,0,0,0,0,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,118.0,1.0,1.0,2.0,0,1,0,-1.8410000000000002,1,1,1,0,1,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
2,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:01,1,1,3,0,0,0,0,15,15,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4,120.0,1.0,2.0,1.0,1,0,-1,-6.007999999999999,2,2,1,0,1,0,0,0,0,0,1.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,2,0,1
3,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:31,1,1,4,0,0,0,0,15,30,1,1,1,2,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13,130.0,3.0,1.0,1.0,0,1,0,-24.523000000000003,3,3,2,0,1,0,0,0,0,0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0,0,0,0,1,0,2
4,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:21,1,1,5,0,0,0,0,30,30,1,1,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,0.813,1,112.0,5.0,2.0,,1,0,1,-0.16399999999999992,3,4,2,0,1,0,0,0,0,0,0.75,0.5,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1
5,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:50,1,1,6,0,0,0,0,40,30,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,97.0,3.0,2.0,2.0,2,0,0,1.0420000000000007,3,4,2,0,2,0,0,0,0,0,0.75,0.5,0.0,0.0,0.0,0.0,1,0,0,0,0,0,2
6,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:03:33,1,1,7,0,0,0,0,40,40,1,1,1,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1,109.0,5.0,1.0,1.0,0,1,1,-11.004000000000001,4,5,3,0,2,0,0,0,0,0,0.8,0.6,0.0,0.0,0.0,0.0,2,0,0,0,0,0,2
7,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:01,1,1,8,0,0,0,0,60,40,1,2,2,4,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.503,18.067,6,105.0,1.0,2.0,2.0,1,0,0,-0.5640000000000001,4,5,3,0,3,0,0,0,0,0,0.8,0.6,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1
8,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:48,1,1,9,0,0,0,0,40,40,1,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34.489,24.594,7,128.0,2.0,1.0,1.0,0,0,1,9.894999999999996,5,6,4,0,3,0,0,0,0,0,0.8333333333333334,0.6666666666666666,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1
9,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:05:32,1,1,10,0,0,0,0,60,40,1,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,110.0,1.0,2.0,2.0,1,0,2,-6.192,6,7,5,0,3,0,0,0,0,0,0.8571428571428571,0.7142857142857143,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
10,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:05,1,2,11,0,0,1,0,0,0,2,1,2,6,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785,4.915,1,112.0,5.0,1.0,1.0,0,0,1,0.8700000000000001,6,7,5,0,3,1,1,1,0,0,0.8571428571428571,0.7142857142857143,0.0,1.0,1.0,0.0,0,1,0,0,0,0,1
11,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:28,1,2,12,0,0,1,0,0,15,2,1,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.744,18.244,4,130.0,5.0,2.0,1.0,0,1,2,1.5,6,7,5,0,3,2,2,1,0,0,0.8571428571428571,0.7142857142857143,0.0,1.0,0.5,0.0,0,1,0,0,0,0,2
12,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:08:06,1,2,13,0,0,1,0,15,15,2,1,1,8,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.013,18.626,4,120.0,4.0,2.0,1.0,1,0,3,7.3870000000000005,6,7,5,0,3,3,3,1,0,0,0.8571428571428571,0.7142857142857143,0.0,1.0,0.3333333333333333,0.0,0,1,0,0,0,1,0
13,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:08:41,1,2,14,0,0,1,0,30,15,2,1,2,8,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.667,7.112,3,128.0,5.0,2.0,2.0,2,0,2,3.5549999999999997,6,7,5,0,3,4,4,2,0,0,0.8571428571428571,0.7142857142857143,0.0,1.0,0.5,0.0,0,0,0,0,0,1,1
14,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:11,1,2,15,0,0,1,0,30,30,2,1,2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399,2.237,1,130.0,4.0,2.0,2.0,0,1,1,1.162,6,7,5,0,3,5,5,3,0,0,0.8571428571428571,0.7142857142857143,0.0,1.0,0.6,0.0,0,0,0,0,0,1,2
15,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:37,1,2,16,0,0,1,0,30,40,2,2,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,4.307,2,97.0,3.0,2.0,1.0,0,2,2,0.9929999999999994,6,7,5,0,3,5,5,3,0,1,0.8571428571428571,0.7142857142857143,0.0,1.0,0.6,0.0,0,0,0,0,0,0,1
16,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:10:20,1,2,17,0,0,1,0,40,40,2,1,2,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.245,5.499,1,124.0,2.0,2.0,,1,0,1,-0.25399999999999956,6,7,5,0,3,5,6,3,0,1,0.8571428571428571,0.7142857142857143,0.0,0.8333333333333334,0.5,0.0,0,0,0,0,0,0,2
17,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:10:45,1,2,18,0,0,1,0,40,60,2,1,2,9,9,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15.194,16.594,3,116.0,4.0,2.0,2.0,0,1,0,-1.4000000000000004,6,7,5,0,3,6,7,4,0,1,0.8571428571428571,0.7142857142857143,0.0,0.8571428571428571,0.5714285714285714,0.0,0,0,0,0,0,0,2
18,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:11:24,1,3,19,0,0,1,1,0,0,1,1,1,10,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899,1.073,1,126.0,4.0,1.0,,0,0,1,-0.17399999999999993,6,8,5,0,3,6,7,4,0,1,0.75,0.625,0.0,0.8571428571428571,0.5714285714285714,0.0,1,0,0,0,0,0,2
19,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:11:47,1,3,20,0,0,1,1,15,0,1,1,1,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.088,34.756,5,127.0,5.0,1.0,1.0,1,0,2,-16.668,7,9,6,0,3,6,7,4,0,1,0.7777777777777778,0.6666666666666666,0.0,0.8571428571428571,0.5714285714285714,0.0,1,0,0,0,0,0,2
20,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:12:17,1,3,21,0,0,1,1,30,0,1,1,2,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.288,10.818,2,114.0,3.0,2.0,1.0,2,0,1,-3.5299999999999994,8,10,6,0,3,6,7,4,0,1,0.8,0.6,0.0,0.8571428571428571,0.5714285714285714,0.0,1,0,0,0,0,0,2
21,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:12:44,1,3,22,0,0,1,1,30,15,1,1,1,12,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.166,32.944,9,127.0,1.0,2.0,2.0,0,1,2,9.221999999999994,9,11,7,0,3,6,7,4,0,1,0.8181818181818182,0.6363636363636364,0.0,0.8571428571428571,0.5714285714285714,0.0,0,0,0,0,0,1,1
22,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:13:26,1,3,23,0,0,1,1,40,15,1,2,1,13,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.782,4.479,1,103.0,2.0,2.0,1.0,1,0,3,-0.6970000000000001,9,11,7,1,4,6,7,4,0,1,0.8181818181818182,0.6363636363636364,0.25,0.8571428571428571,0.5714285714285714,0.0,0,0,0,0,0,1,1
23,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:15:31,1,4,24,0,0,2,1,0,0,2,2,2,13,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.601,13.713,3,107.0,2.0,2.0,2.0,0,0,2,-1.1119999999999983,9,11,7,1,4,6,7,4,1,2,0.8181818181818182,0.6363636363636364,0.25,0.8571428571428571,0.5714285714285714,0.5,0,0,0,0,1,1,1
24,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:16:15,1,4,25,0,0,2,1,0,15,2,1,2,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.925,13.976,3,111.0,3.0,2.0,2.0,0,1,1,0.9489999999999998,9,11,7,1,4,7,8,5,1,2,0.8181818181818182,0.6363636363636364,0.25,0.875,0.625,0.5,0,0,0,0,1,0,2
25,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:16:47,1,4,26,0,0,2,1,0,30,2,1,2,13,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903,1.067,1,125.0,4.0,2.0,,0,2,0,-0.16399999999999992,9,11,7,1,4,7,9,5,1,2,0.8181818181818182,0.6363636363636364,0.25,0.7777777777777778,0.5555555555555556,0.5,0,1,0,0,1,0,1
26,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:17:08,1,4,27,0,0,2,1,0,40,2,1,2,13,14,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.027,7.402,3,126.0,5.0,2.0,,0,3,-1,12.625,9,11,7,1,4,7,10,5,1,2,0.8181818181818182,0.6363636363636364,0.25,0.7,0.5,0.5,0,1,0,0,0,0,2
