match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,game_victor,set_victor,p1_ace,p2_ace,speed_mph,continuous_wins_p1,continuous_wins_p2,Player_socre_difference,Players_run_distance_difference,p1_1st_serve_success_ratio,p1_1st_serve_win_ratio,p1_2nd_serve_win_ratio,p2_1st_serve_success_ratio,p2_1st_serve_win_ratio,p2_2nd_serve_win_ratio
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:00,1,1,1,0,0,0,0,-1.1693464,-1.111634774,1,2,2,0,0,0,0,-1.360802854,0,0,-1.016138793,-0.272104693,-4.765781896,-3.639530008,-2.877460983,-4.803374034,-3.94493188,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:38,1,1,2,0,0,0,0,-1.1693464,-0.227242622,1,1,1,0,0,0,0,0.4417418,0,1,-1.176970807,-0.271884262,1.332380269,2.761894105,-2.877460983,-4.803374034,-3.94493188,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:01,1,1,3,0,0,0,0,-0.282251095,-0.227242622,1,1,2,0,0,0,0,0.598484814,1,0,-1.016138793,0.646652516,1.332380269,-0.438817951,-2.877460983,-4.803374034,-3.94493188,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:31,1,1,4,0,0,0,0,-0.282251095,0.657149531,1,1,1,0,0,0,0,1.382199881,0,1,-1.176970807,4.727936038,1.332380269,0.628086067,-2.877460983,-4.803374034,-3.94493188,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:21,1,1,5,0,0,0,0,0.604844211,0.657149531,1,1,1,0,0,1,0,-0.02848724,1,0,-1.016138793,-0.641547371,-0.192160272,-0.438817951,-2.877460983,-4.803374034,-3.94493188,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:50,1,1,6,0,0,0,0,1.196241082,0.657149531,1,2,2,0,0,0,0,-1.204059841,2,0,-1.176970807,-0.448008784,-0.192160272,-0.438817951,-2.877460983,-4.803374034,-3.94493188,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:03:33,1,1,7,0,0,0,0,1.196241082,1.246744299,1,1,1,0,0,1,0,-0.26360176,0,1,-1.016138793,1.747926752,0.112747836,0.20132446,-2.877460983,-4.803374034,-3.94493188,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:01,1,1,8,0,0,0,0,2.379034823,1.246744299,1,2,2,0,0,0,0,-0.577087787,1,0,-1.176970807,-0.553374894,0.112747836,0.20132446,-2.877460983,-4.803374034,-3.94493188,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:48,1,1,9,0,0,0,0,1.196241082,1.246744299,1,1,1,0,0,0,0,1.225456867,0,0,-1.016138793,1.50346856,0.316019908,0.628086067,-2.877460983,-4.803374034,-3.94493188,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:05:32,1,1,10,0,0,0,0,2.379034823,1.246744299,1,1,1,1,0,0,0,-0.185230254,1,0,-0.855306778,0.687211855,0.461214246,0.932915787,-2.877460983,-4.803374034,-3.94493188,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:05,1,2,11,0,0,1,0,-1.1693464,-1.111634774,2,1,2,0,0,0,1,-0.02848724,0,0,-1.016138793,-0.485922949,0.461214246,0.932915787,-2.877460983,1.416994155,3.168118217,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:28,1,2,12,0,0,1,0,-1.1693464,-0.227242622,2,1,1,0,0,0,0,1.382199881,0,1,-0.855306778,-0.347051298,0.461214246,0.932915787,-2.877460983,1.416994155,-0.388406832,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:08:06,1,2,13,0,0,1,0,-0.282251095,-0.227242622,2,1,1,0,0,0,0,0.598484814,1,0,-0.694474764,0.95062713,0.461214246,0.932915787,-2.877460983,1.416994155,-1.573915181,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:08:41,1,2,14,0,0,1,0,0.604844211,-0.227242622,2,1,2,0,0,0,0,1.225456867,2,0,-0.855306778,0.105934802,0.461214246,0.932915787,-2.877460983,1.416994155,-0.388406832,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:11,1,2,15,0,0,1,0,0.604844211,0.657149531,2,1,2,0,0,0,0,1.382199881,0,1,-1.016138793,-0.421557041,0.461214246,0.932915787,-2.877460983,1.416994155,0.322898178,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:37,1,2,16,0,0,1,0,0.604844211,1.246744299,2,2,1,0,0,0,0,-1.204059841,0,2,-0.855306778,-0.458809913,0.461214246,0.932915787,-2.877460983,1.416994155,0.322898178,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:10:20,1,2,17,0,0,1,0,1.196241082,1.246744299,2,1,2,0,0,0,0,0.91197084,1,0,-1.016138793,-0.621708563,0.461214246,0.932915787,-2.877460983,0.380266123,-0.388406832,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:10:45,1,2,18,0,0,1,0,1.196241082,2.425933836,2,1,2,2,0,0,0,0.284998787,0,1,-1.176970807,-0.369094417,0.461214246,0.932915787,-2.877460983,0.528370128,0.119668175,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:11:24,1,3,19,0,0,1,1,-1.1693464,-1.111634774,1,1,1,0,0,1,0,1.068713854,0,0,-1.016138793,-0.639343059,-0.192160272,0.361360063,-2.877460983,0.528370128,0.119668175,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:11:47,1,3,20,0,0,1,1,-0.282251095,-1.111634774,1,1,1,0,0,0,0,1.147085361,1,0,-0.855306778,2.996449024,-0.022766879,0.628086067,-2.877460983,0.528370128,0.119668175,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:12:17,1,3,21,0,0,1,1,0.604844211,-1.111634774,1,1,2,0,0,0,0,0.128255773,2,0,-1.016138793,0.100424022,0.112747836,0.20132446,-2.877460983,0.528370128,0.119668175,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:12:44,1,3,22,0,0,1,1,0.604844211,-0.227242622,1,1,1,0,0,0,0,1.147085361,0,1,-0.855306778,1.355118367,0.223623512,0.434103519,-2.877460983,0.528370128,0.119668175,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:13:26,1,3,23,0,0,1,1,1.196241082,-0.227242622,1,2,1,1,0,0,0,-0.733830801,1,0,-0.694474764,-0.524057545,0.223623512,0.434103519,-1.510835678,0.528370128,0.119668175,-2.859715628
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:15:31,1,4,24,0,0,2,1,-1.1693464,-1.111634774,2,2,2,0,0,0,0,-0.420344774,0,0,-0.855306778,-0.432578601,0.223623512,0.434103519,-1.510835678,0.528370128,0.119668175,-0.126797673
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:16:15,1,4,25,0,0,2,1,-1.1693464,-0.227242622,2,1,2,0,0,0,0,-0.106858747,0,1,-1.016138793,-0.468508885,0.223623512,0.434103519,-1.510835678,0.639448131,0.50072443,-0.126797673
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:16:47,1,4,26,0,0,2,1,-1.1693464,0.657149531,2,1,2,0,0,0,1,0.990342347,0,2,-1.176970807,-0.641547371,0.223623512,0.434103519,-1.510835678,0.034690113,0.006762618,-0.126797673
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:17:08,1,4,27,0,0,2,1,-1.1693464,1.246744299,2,1,2,2,0,0,0,1.068713854,0,3,-1.016138793,2.105245714,0.223623512,0.434103519,-1.510835678,-0.449116302,-0.388406832,-0.126797673
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:17:49,1,5,28,0,0,2,2,-1.1693464,-1.111634774,1,1,1,0,0,0,0,0.284998787,0,0,-1.176970807,2.41142464,0.316019908,0.628086067,-1.510835678,-0.449116302,-0.388406832,-0.126797673
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:18:25,1,5,29,0,0,2,2,-0.282251095,-1.111634774,1,1,1,0,0,0,0,1.303828374,1,0,-1.016138793,0.202042801,0.394201475,0.792225147,-1.510835678,-0.449116302,-0.388406832,-0.126797673
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:18:50,1,5,30,0,0,2,2,0.604844211,-1.111634774,1,1,1,0,0,0,0,-0.185230254,2,0,-0.855306778,-0.556681362,0.461214246,0.932915787,-1.510835678,-0.449116302,-0.388406832,-0.126797673
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:19:20,1,5,31,0,0,2,2,1.196241082,-1.111634774,1,2,2,0,0,0,0,0.049884267,3,0,-1.016138793,-0.37879339,0.461214246,0.932915787,-1.784160739,-0.449116302,-0.388406832,-0.126797673
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:20:03,1,5,32,0,0,2,2,1.196241082,-0.227242622,1,2,2,0,0,0,0,-0.655459294,0,1,-1.176970807,0.252962407,0.461214246,0.932915787,-1.966377446,-0.449116302,-0.388406832,-0.126797673
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:20:55,1,5,33,0,0,2,2,1.196241082,0.657149531,1,1,2,0,0,0,0,-0.106858747,0,2,-1.016138793,-0.108985611,0.51929198,0.628086067,-1.966377446,-0.449116302,-0.388406832,-0.126797673
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:21:27,1,5,34,0,0,2,2,1.196241082,1.246744299,1,2,1,0,0,0,0,-1.204059841,0,3,-1.176970807,0.464576351,0.51929198,0.628086067,-1.315603491,-0.449116302,-0.388406832,-0.126797673
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:22:19,1,5,35,0,0,2,2,2.379034823,1.246744299,1,1,1,1,0,0,0,0.128255773,1,0,-1.016138793,-0.071512308,0.570109999,0.76144907,-1.315603491,-0.449116302,-0.388406832,-0.126797673
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:24:22,1,6,36,0,0,3,2,-1.1693464,-1.111634774,2,1,2,0,0,0,0,-0.185230254,0,0,-1.176970807,-0.303185491,0.570109999,0.76144907,-1.315603491,-0.279469897,-0.065086373,-0.126797673
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:24:53,1,6,37,0,0,3,2,-1.1693464,-0.227242622,2,2,1,0,0,0,0,-1.752660388,0,1,-1.016138793,-0.567702921,0.570109999,0.76144907,-1.315603491,-0.279469897,-0.065086373,-1.037770325
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:26:05,1,6,38,0,0,3,2,-0.282251095,-0.227242622,2,1,2,0,0,0,0,0.990342347,1,0,-1.176970807,-0.319276968,0.570109999,0.76144907,-1.315603491,-0.138097893,0.204347343,-1.037770325
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:26:30,1,6,39,0,0,3,2,-0.282251095,0.657149531,2,1,2,0,0,0,0,1.147085361,0,1,-1.016138793,-0.664251784,0.570109999,0.76144907,-1.315603491,-0.018475427,0.432329718,-1.037770325
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:26:56,1,6,40,0,0,3,2,-0.282251095,1.246744299,2,2,2,2,0,0,0,-0.106858747,0,2,-0.855306778,-0.594815958,0.570109999,0.76144907,-1.315603491,-0.018475427,0.432329718,-0.126797673
