p1_1st_serve_success_ratio,p1_1st_serve_win_ratio,p1_2nd_serve_win_ratio,p2_1st_serve_success_ratio,p2_1st_serve_win_ratio,p2_2nd_serve_win_ratio,p1_ace_count2r,p2_ace_count2r,p1_unf_err_count2r,p2_unf_err_count2r,speed_mph,serve_width,serve_depth,continuous_wins_p1,continuous_wins_p2,server,serve_no,elapsed_time,p1_Players_run_distance_difference,p2_Players_run_distance_difference,p1_server,p2_server,p1_score,p2_score,point_no,p1_Player_socre_margin,p2_Player_socre_margin
0,0,0,0,0,0,0,0,1,0,95,2,2,0,0,1,2,00:00:00,-1.84,-1.84,1,1,0,0,1,0,0
1,1,0,0,0,0,0,0,1,0,118,1,1,0,1,1,1,00:00:38,-1.841,-1.841,1,1,0,15,2,-15,-15
1,0.5,0,0,0,0,0,0,2,0,120,1,2,1,0,1,1,00:01:01,-6.008,-6.008,1,1,15,15,3,0,0
1,0.666666667,0,0,0,0,0,0,1,0,130,3,1,0,1,1,1,00:01:31,-24.523,-24.523,1,1,15,30,4,-15,-15
0.75,0.5,0,0,0,0,1,0,1,0,112,5,2,1,0,1,1,00:02:21,-0.164,-0.164,1,1,30,30,5,0,0
0.75,0.5,0,0,0,0,1,0,0,0,97,3,2,2,0,1,2,00:02:50,1.042,1.042,1,1,40,30,6,10,10
0.8,0.6,0,0,0,0,2,0,0,0,109,5,1,0,1,1,1,00:03:33,-11.004,-11.004,1,1,40,40,7,0,0
0.8,0.6,0,0,0,0,1,0,0,0,105,1,2,1,0,1,2,00:04:01,-0.564,-0.564,1,1,60,40,8,20,20
0.833333333,0.666666667,0,0,0,0,1,0,0,0,128,2,1,0,0,1,1,00:04:48,9.895,9.895,1,1,40,40,9,0,0
0.857142857,0.714285714,0,0,0,0,0,0,0,0,110,1,2,1,0,1,1,00:05:32,-6.192,-6.192,1,1,60,40,10,20,20
0.857142857,0.714285714,0,1,1,0,0,1,0,0,112,5,1,0,0,2,1,00:07:05,0.87,0.87,2,2,0,0,11,0,0
0.857142857,0.714285714,0,1,0.5,0,0,1,0,0,130,5,2,0,1,2,1,00:07:28,1.5,1.5,2,2,0,15,12,-15,-15
0.857142857,0.714285714,0,1,0.333333333,0,0,1,0,1,120,4,2,1,0,2,1,00:08:06,7.387,7.387,2,2,15,15,13,0,0
0.857142857,0.714285714,0,1,0.5,0,0,0,0,1,128,5,2,2,0,2,1,00:08:41,3.555,3.555,2,2,30,15,14,15,15
0.857142857,0.714285714,0,1,0.6,0,0,0,0,1,130,4,2,0,1,2,1,00:09:11,1.162,1.162,2,2,30,30,15,0,0
0.857142857,0.714285714,0,1,0.6,0,0,0,0,0,97,3,2,0,2,2,2,00:09:37,0.993,0.993,2,2,30,40,16,-10,-10
0.857142857,0.714285714,0,0.833333333,0.5,0,0,0,0,0,124,2,2,1,0,2,1,00:10:20,-0.254,-0.254,2,2,40,40,17,0,0
0.857142857,0.714285714,0,0.857142857,0.571428571,0,0,0,0,0,116,4,2,0,1,2,1,00:10:45,-1.4,-1.4,2,2,40,60,18,-20,-20
0.75,0.625,0,0.857142857,0.571428571,0,1,0,0,0,126,4,1,0,0,1,1,00:11:24,-0.174,-0.174,1,1,0,0,19,0,0
0.777777778,0.666666667,0,0.857142857,0.571428571,0,1,0,0,0,127,5,1,1,0,1,1,00:11:47,-16.668,-16.668,1,1,15,0,20,15,15
0.8,0.6,0,0.857142857,0.571428571,0,1,0,0,0,114,3,2,2,0,1,1,00:12:17,-3.53,-3.53,1,1,30,0,21,30,30
0.818181818,0.636363636,0,0.857142857,0.571428571,0,0,0,0,1,127,1,2,0,1,1,1,00:12:44,9.222,9.222,1,1,30,15,22,15,15
0.818181818,0.636363636,0.25,0.857142857,0.571428571,0,0,0,0,1,103,2,2,1,0,1,2,00:13:26,-0.697,-0.697,1,1,40,15,23,25,25
0.818181818,0.636363636,0.25,0.857142857,0.571428571,0.5,0,0,1,1,107,2,2,0,0,2,2,00:15:31,-1.112,-1.112,2,2,0,0,24,0,0
0.818181818,0.636363636,0.25,0.875,0.625,0.5,0,0,1,0,111,3,2,0,1,2,1,00:16:15,0.949,0.949,2,2,0,15,25,-15,-15
0.818181818,0.636363636,0.25,0.777777778,0.555555556,0.5,0,1,1,0,125,4,2,0,2,2,1,00:16:47,-0.164,-0.164,2,2,0,30,26,-30,-30
0.818181818,0.636363636,0.25,0.7,0.5,0.5,0,1,0,0,126,5,2,0,3,2,1,00:17:08,12.625,12.625,2,2,0,40,27,-40,-40
0.833333333,0.666666667,0.25,0.7,0.5,0.5,0,1,0,0,116,5,1,0,0,1,1,00:17:49,-14.014,-14.014,1,1,0,0,28,0,0
0.846153846,0.692307692,0.25,0.7,0.5,0.5,0,0,0,0,129,4,2,1,0,1,1,00:18:25,-3.991,-3.991,1,1,15,0,29,15,15
0.857142857,0.714285714,0.25,0.7,0.5,0.5,0,0,0,0,110,2,2,2,0,1,1,00:18:50,-0.549,-0.549,1,1,30,0,30,30,30
0.857142857,0.714285714,0.2,0.7,0.5,0.5,0,0,1,0,113,2,2,3,0,1,2,00:19:20,-1.356,-1.356,1,1,40,0,31,40,40
0.857142857,0.714285714,0.166666667,0.7,0.5,0.5,0,0,1,0,104,2,2,0,1,1,2,00:20:03,-4.222,-4.222,1,1,40,15,32,25,25
0.866666667,0.666666667,0.166666667,0.7,0.5,0.5,0,0,2,0,111,1,1,0,2,1,1,00:20:55,-2.58,-2.58,1,1,40,30,33,10,10
0.866666667,0.666666667,0.285714286,0.7,0.5,0.5,0,0,1,0,97,4,1,0,3,1,2,00:21:27,5.182,5.182,1,1,40,40,34,0,0
0.875,0.6875,0.285714286,0.7,0.5,0.5,0,0,1,0,114,4,2,1,0,1,1,00:22:19,-2.75,-2.75,1,1,60,40,35,20,20
0.875,0.6875,0.285714286,0.727272727,0.545454545,0.5,0,0,0,0,110,5,1,0,0,2,1,00:24:22,1.699,1.699,2,2,0,0,36,0,0
0.875,0.6875,0.285714286,0.727272727,0.545454545,0.333333333,0,0,0,1,90,3,2,0,1,2,2,00:24:53,-0.499,-0.499,2,2,0,15,37,-15,-15
0.875,0.6875,0.285714286,0.75,0.583333333,0.333333333,0,0,0,1,125,4,2,1,0,2,1,00:26:05,1.626,1.626,2,2,15,15,38,0,0
0.875,0.6875,0.285714286,0.769230769,0.615384615,0.333333333,0,0,0,1,127,1,2,0,1,2,1,00:26:30,0.061,0.061,2,2,15,30,39,-15,-15
0.875,0.6875,0.285714286,0.769230769,0.615384615,0.5,0,0,0,0,111,3,2,0,2,2,2,00:26:56,0.376,0.376,2,2,15,40,40,-25,-25
0.875,0.6875,0.375,0.769230769,0.615384615,0.5,0,0,0,0,107,3,2,0,0,1,2,00:27:42,1.556,1.556,1,1,0,0,41,0,0
0.882352941,0.705882353,0.375,0.769230769,0.615384615,0.5,0,0,0,1,120,4,2,1,0,1,1,00:28:37,-9.266,-9.266,1,1,15,0,42,15,15
0.888888889,0.722222222,0.375,0.769230769,0.615384615,0.5,0,0,0,1,115,5,1,2,0,1,1,00:29:06,-4.766,-4.766,1,1,30,0,43,30,30
0.888888889,0.722222222,0.333333333,0.769230769,0.615384615,0.5,0,0,0,1,104,3,2,3,0,1,2,00:29:32,-0.588,-0.588,1,1,40,0,44,40,40
0.888888889,0.722222222,0.4,0.769230769,0.615384615,0.5,0,0,0,0,101,1,2,0,1,1,2,00:30:17,6.403,6.403,1,1,40,15,45,25,25
0.888888889,0.722222222,0.4,0.785714286,0.642857143,0.5,0,0,0,0,132,4,1,0,0,2,1,00:32:34,1.026,1.026,2,2,0,0,46,0,0
