CatBoost,,XGBoost,,GBDT,,LightGBM,,RF,,adboost,
特征名称,特征重要性,特征名称,特征重要性,特征名称,特征重要性,特征名称,特征重要性,特征名称,特征重要性,特征名称,特征重要性
point_victor,17.90%,server,28.80%,server,20.90%,Players_run_distance_difference,11.40%,server,37.60%,p2_1st_serve_success_ratio,15.00%
p2_unf_err_count2r,7.80%,p1_unf_err_count2r,10.30%,Players_run_distance_difference,11.20%,speed_mph,10.60%,p1_unf_err_count2r,8.00%,p1_1st_serve_win_ratio,14.00%
speed_mph,6.50%,p2_unf_err_count2r,9.30%,p1_unf_err_count2r,6.90%,p1_1st_serve_win_ratio,8.80%,p2_unf_err_count2r,7.50%,p2_1st_serve_win_ratio,12.00%
continuous_wins_p2,6.40%,serve_no,5.20%,speed_mph,6.60%,p2_1st_serve_win_ratio,8.70%,Players_run_distance_difference,7.20%,p2_2nd_serve_win_ratio,10.00%
p1_unf_err_count2r,6.30%,continuous_wins_p1,5.10%,p2_unf_err_count2r,6.50%,p1_1st_serve_success_ratio,8.20%,speed_mph,5.60%,p1_1st_serve_success_ratio,10.00%
continuous_wins_p1,6.00%,continuous_wins_p2,5.10%,p1_2nd_serve_win_ratio,6.10%,p2_1st_serve_success_ratio,7.80%,p2_ace_count2r,3.60%,Players_run_distance_difference,7.00%
p1_1st_serve_success_ratio,6.00%,p2_ace_count2r,3.70%,p2_1st_serve_win_ratio,5.70%,p1_2nd_serve_win_ratio,7.10%,p1_2nd_serve_win_ratio,3.20%,continuous_wins_p2,5.00%
Players_run_distance_difference,6.00%,Players_run_distance_difference,3.60%,p1_1st_serve_win_ratio,5.30%,Player_socre_margin,6.50%,p2_2nd_serve_win_ratio,3.10%,point_victor,4.00%
p1_1st_serve_win_ratio,5.30%,p1_2nd_serve_win_ratio,3.30%,p2_2nd_serve_win_ratio,5.20%,p2_2nd_serve_win_ratio,5.90%,continuous_wins_p2,3.00%,speed_mph,4.00%
p1_2nd_serve_win_ratio,5.00%,p1_1st_serve_success_ratio,3.30%,p2_1st_serve_success_ratio,5.00%,p1_unf_err_count2r,4.10%,p2_1st_serve_win_ratio,2.90%,p1_2nd_serve_win_ratio,4.00%
p2_2nd_serve_win_ratio,4.50%,p1_1st_serve_win_ratio,3.30%,p1_1st_serve_success_ratio,4.80%,continuous_wins_p1,4.00%,serve_no,2.90%,p1_unf_err_count2r,3.00%
p2_1st_serve_success_ratio,3.90%,p2_1st_serve_success_ratio,3.10%,Player_socre_margin,4.00%,p2_unf_err_count2r,3.30%,p1_1st_serve_win_ratio,2.60%,p2_unf_err_count2r,3.00%
Player_socre_margin,3.90%,p2_2nd_serve_win_ratio,2.80%,continuous_wins_p1,3.50%,serve_width,3.10%,p1_ace_count2r,2.40%,continuous_wins_p1,3.00%
p2_1st_serve_win_ratio,3.60%,p2_1st_serve_win_ratio,2.70%,continuous_wins_p2,2.80%,continuous_wins_p2,3.00%,continuous_wins_p1,2.40%,Player_socre_margin,3.00%
serve_width,3.40%,Player_socre_margin,2.70%,serve_width,2.30%,server,2.90%,p2_1st_serve_success_ratio,1.90%,p2_ace_count2r,1.00%
serve_no,2.90%,serve_width,2.30%,serve_no,1.00%,serve_no,1.50%,p1_1st_serve_success_ratio,1.80%,p1_ace_count2r,1.00%
p1_ace_count2r,1.90%,speed_mph,2.20%,p2_ace_count2r,1.00%,serve_depth,1.30%,serve_width,1.80%,serve_depth,1.00%
p2_ace_count2r,1.50%,p1_ace_count2r,1.90%,serve_depth,0.80%,p2_ace_count2r,1.10%,Player_socre_margin,1.60%,serve_no,0.00%
serve_depth,1.20%,serve_depth,1.50%,p1_ace_count2r,0.40%,p1_ace_count2r,0.90%,serve_depth,0.90%,serve_width,0.00%
