权重,server,Players_run_distance_difference,p1_1st_serve_success_ratio,p1_1st_serve_win_ratio,p1_2nd_serve_win_ratio,p2_1st_serve_success_ratio,p2_1st_serve_win_ratio,p2_2nd_serve_win_ratio,p1_ace_count2r,p2_ace_count2r,p1_unf_err_count2r,p2_unf_err_count2r,speed_mph,serve_width,serve_no,continuous_wins_p1,continuous_wins_p2,Player_socre_margin,serve_depth,p1_m,p2_m
18.6833333,1,-0.272104693,-4.765781896,-3.639530008,-2.877460983,-4.803374034,-3.94493188,-2.859715628,-0.379129612,-0.364998198,1.212948767,-0.637767728,-1.360802854,-1.102905211,2,0,0,-1.016138793,0.660747351,,
7.73333333,1,-0.271884262,1.332380269,2.761894105,-2.877460983,-4.803374034,-3.94493188,-2.859715628,-0.379129612,-0.364998198,1.212948767,-0.637767728,0.4417418,-1.866521334,1,0,1,-1.176970807,-1.513437773,,
6.43333333,1,0.646652516,1.332380269,-0.438817951,-2.877460983,-4.803374034,-3.94493188,-2.859715628,-0.379129612,-0.364998198,3.015367963,-0.637767728,0.598484814,-1.866521334,1,1,0,-1.016138793,0.660747351,,
5.91666667,1,4.727936038,1.332380269,0.628086067,-2.877460983,-4.803374034,-3.94493188,-2.859715628,-0.379129612,-0.364998198,1.212948767,-0.637767728,1.382199881,-0.339289088,1,0,1,-1.176970807,-1.513437773,,
6.23333333,1,-0.641547371,-0.192160272,-0.438817951,-2.877460983,-4.803374034,-3.94493188,-2.859715628,2.140680382,-0.364998198,1.212948767,-0.637767728,-0.02848724,1.187943159,1,1,0,-1.016138793,0.660747351,,
4.78333333,1,-0.448008784,-0.192160272,-0.438817951,-2.877460983,-4.803374034,-3.94493188,-2.859715628,2.140680382,-0.364998198,-0.589470429,-0.637767728,-1.204059841,-0.339289088,2,2,0,-1.176970807,0.660747351,,
5.93333333,1,1.747926752,0.112747836,0.20132446,-2.877460983,-4.803374034,-3.94493188,-2.859715628,4.660490376,-0.364998198,-0.589470429,-0.637767728,-0.26360176,1.187943159,1,0,1,-1.016138793,-1.513437773,,
6.55,1,-0.553374894,0.112747836,0.20132446,-2.877460983,-4.803374034,-3.94493188,-2.859715628,2.140680382,-0.364998198,-0.589470429,-0.637767728,-0.577087787,-1.866521334,2,1,0,-1.176970807,0.660747351,,
5.25,1,1.50346856,0.316019908,0.628086067,-2.877460983,-4.803374034,-3.94493188,-2.859715628,2.140680382,-0.364998198,-0.589470429,-0.637767728,1.225456867,-1.102905211,1,0,0,-1.016138793,-1.513437773,,
6.1,1,0.687211855,0.461214246,0.932915787,-2.877460983,-4.803374034,-3.94493188,-2.859715628,-0.379129612,-0.364998198,-0.589470429,-0.637767728,-0.185230254,-1.866521334,1,1,0,-0.855306778,0.660747351,,
5.68333333,2,-0.485922949,0.461214246,0.932915787,-2.877460983,1.416994155,3.168118217,-2.859715628,-0.379129612,2.254624283,-0.589470429,-0.637767728,-0.02848724,1.187943159,1,0,0,-1.016138793,-1.513437773,,
