,p1_1st_serve_success_ratio,p1_1st_serve_win_ratio,p1_2nd_serve_win_ratio,p2_1st_serve_success_ratio,p2_1st_serve_win_ratio,p2_2nd_serve_win_ratio,p1_ace_count2r,p2_ace_count2r,p1_unf_err_count2r,p2_unf_err_count2r,speed_mph,serve_width,serve_depth,continuous_wins_p1,continuous_wins_p2,server,serve_no,elapsed_time,Player_socre_margin,Players_run_distance_difference,p1_server,p2_server,p1_score,p2_score,y_value_p1,y_value_p2,Momentum difference,point_victor_p2
0,0,0,0,0,0,0,0,0,1,0,-0.393939394,2,2,0,0,1,2,00:00:00,0,-0.393939394,1,0,0,0,30.90353,5.8202,25.08333,2
1,1,1,0,0,0,0,0,0,1,0,0.303030303,1,1,0,1,1,1,00:00:38,0.032258065,0.303030303,1,0,0,15,46.44323,13.74327,32.69996,1
2,1,0.5,0,0,0,0,0,0,2,0,0.363636364,1,2,1,0,1,1,00:01:01,0,0.363636364,1,0,15,15,55.63683,11.4452,44.19163,2
3,1,0.666666667,0,0,0,0,0,0,1,0,0.666666667,3,1,0,1,1,1,00:01:31,0.032258065,0.666666667,1,0,15,30,53.47189667,22.85527,30.61662667,1
4,0.75,0.5,0,0,0,0,1,0,1,0,0.121212121,5,2,1,0,1,1,00:02:21,0.064516129,0.121212121,1,0,30,30,54.649605,16.8372,37.812405,1
5,0.75,0.5,0,0,0,0,1,0,0,0,-0.333333333,3,2,2,0,1,2,00:02:50,0.032258065,-0.333333333,1,0,40,30,44.184605,8.7722,35.412405,2
6,0.8,0.6,0,0,0,0,2,0,0,0,0.03030303,5,1,0,1,1,1,00:03:33,0.064516129,0.03030303,1,0,40,40,44.25077,18.73427,25.5165,1
7,0.8,0.6,0,0,0,0,1,0,0,0,-0.090909091,1,2,1,0,1,2,00:04:01,0.032258065,-0.090909091,1,0,60,40,39.99677,7.6802,32.31657,2
8,0.833333333,0.666666667,0,0,0,0,1,0,0,0,0.606060606,2,1,0,0,1,1,00:04:48,0.064516129,0.606060606,1,0,40,40,44.60594667,15.6866,28.91934667,1
9,0.857142857,0.714285714,0,0,0,0,0,0,0,0,0.060606061,1,2,1,0,1,1,00:05:32,0.096774194,0.060606061,1,0,60,40,39.36850143,7.4352,31.93330143,1
10,0.857142857,0.714285714,0,1,1,0,0,1,0,0,0.121212121,5,1,0,0,2,1,00:07:05,0.064516129,0.121212121,0,1,0,0,24.97057143,48.41723,-23.44665857,2
11,0.857142857,0.714285714,0,1,0.5,0,0,1,0,0,0.666666667,5,2,0,1,2,1,00:07:28,0.096774194,0.666666667,0,1,0,15,33.30517143,58.0035,-24.69832857,1
12,0.857142857,0.714285714,0,1,0.333333333,0,0,1,0,1,0.363636364,4,2,1,0,2,1,00:08:06,0.129032258,0.363636364,0,1,15,15,31.14517143,52.83849666,-21.69332524,1
13,0.857142857,0.714285714,0,1,0.5,0,0,0,0,1,0.606060606,5,2,2,0,2,1,00:08:41,0.096774194,0.606060606,0,1,30,15,40.50317143,57.20153,-16.69835857,2
14,0.857142857,0.714285714,0,1,0.6,0,0,0,0,1,0.666666667,4,2,0,1,2,1,00:09:11,0.064516129,0.666666667,0,1,30,30,31.15517143,60.6632,-29.50802857,2
15,0.857142857,0.714285714,0,1,0.6,0,0,0,0,0,-0.333333333,3,2,0,2,2,2,00:09:37,0.096774194,-0.333333333,0,1,30,40,18.02217143,45.54687,-27.52469857,1
16,0.857142857,0.714285714,0,0.833333333,0.5,0,0,0,0,0,0.484848485,2,2,1,0,2,1,00:10:20,0.064516129,0.484848485,0,1,40,40,28.44917143,41.93086333,-13.48169191,2
17,0.857142857,0.714285714,0,0.857142857,0.571428571,0,0,0,0,0,0.242424242,4,2,0,1,2,1,00:10:45,0.032258065,0.242424242,0,1,40,60,25.54117143,47.80834285,-22.26717143,2
18,0.75,0.625,0,0.857142857,0.571428571,0,1,0,0,0,0.545454545,4,1,0,0,1,1,00:11:24,0.064516129,0.545454545,1,0,0,0,47.378255,27.80174285,19.57651215,1
19,0.777777778,0.666666667,0,0.857142857,0.571428571,0,1,0,0,0,0.575757576,5,1,1,0,1,1,00:11:47,0.096774194,0.575757576,1,0,15,0,54.34476334,30.35274285,23.99202048,1
20,0.8,0.6,0,0.857142857,0.571428571,0,1,0,0,0,0.181818182,3,2,2,0,1,1,00:12:17,0.064516129,0.181818182,1,0,30,0,49.65577,21.95634285,27.69942715,2
21,0.818181818,0.636363636,0,0.857142857,0.571428571,0,0,0,0,1,0.575757576,1,2,0,1,1,1,00:12:44,0.096774194,0.575757576,1,0,30,15,41.48095727,33.28601285,8.194944416,1
22,0.818181818,0.636363636,0.25,0.857142857,0.571428571,0,0,0,0,1,-0.151515152,2,2,1,0,1,2,00:13:26,0.129032258,-0.151515152,1,0,40,15,41.45195727,23.84534285,17.60661442,1
23,0.818181818,0.636363636,0.25,0.857142857,0.571428571,0.5,0,0,1,1,-0.03030303,2,2,0,0,2,2,00:15:31,0.096774194,-0.03030303,0,1,0,0,26.77262727,46.75767285,-19.98504558,2
24,0.818181818,0.636363636,0.25,0.875,0.625,0.5,0,0,1,0,0.090909091,3,2,0,1,2,1,00:16:15,0.064516129,0.090909091,0,1,0,15,28.27662727,46.70495,-18.42832273,2
25,0.818181818,0.636363636,0.25,0.777777778,0.555555556,0.5,0,1,1,0,0.515151515,4,2,0,2,2,1,00:16:47,0.032258065,0.515151515,0,1,0,30,36.04062727,59.66405889,-23.62343162,2
26,0.818181818,0.636363636,0.25,0.7,0.5,0.5,0,1,0,0,0.545454545,5,2,0,3,2,1,00:17:08,0,0.545454545,0,1,0,40,32.19162727,65.62784,-33.43621273,2
